id,SalePrice
2658,163495.90884312472
2718,153486.37940839026
2414,213614.0006797276
1989,112248.53141272711
625,170203.58991148253
333,83352.3240238754
1327,113676.78042572681
858,154262.99496781523
95,179488.96162282093
1568,163311.9492166788
2482,148716.026039997
1364,125734.76366852559
2584,144251.84987933046
818,266864.06435313565
2673,143251.18884698566
2089,106967.24117890111
1297,173388.908291423
790,115702.16243079456
2616,193642.7480908877
720,178811.76449224353
222,148427.44046846067
557,130303.09726195429
1148,183140.65472527646
2766,174907.62364761494
534,177482.4021228039
1452,120397.03291343217
630,123850.59378297669
2648,121392.88923071667
125,158373.42060242555
1904,60963.337001691354
1670,111421.56925359953
756,101065.06572948793
717,172470.6852196878
1032,159654.30832875293
852,205612.05465358874
1731,181726.74509795656
2639,124197.48323163419
2071,96325.64521481088
1267,119338.54142865955
1851,188327.09997310708
567,161096.13980256434
2439,202740.57332720957
1898,146570.17540968655
647,159373.62889201756
2256,198751.39937312563
979,98425.0185532096
1444,214035.68655250018
2485,129069.59552201582
157,132317.24713064908
88,127480.3043634772
2003,109921.54679110253
186,205944.27041428207
1425,234141.9020086679
2695,126421.9103417685
738,103086.28212533373
395,151933.11868201557
1353,162121.92286659722
1878,140963.93911683836
390,166061.77113242084
1456,229089.71842448483
1103,308096.95038809144
1387,138352.27086728055
2070,146556.98711393072
1199,178414.3843639681
2479,174221.1111984296
501,304703.5268548941
2362,97346.48659534914
1718,194265.71923241692
2188,88813.74545146132
1483,146035.94253976346
2557,89049.77994242769
437,346376.38389239274
2224,211810.31887887084
1628,159289.5406589522
397,135039.13877296087
587,191877.72547476343
971,132497.19742708278
2611,135755.79084375626
1887,99222.04580280007
2399,366936.39184880804
2148,192691.44907989207
304,113720.90030686987
1997,121828.48638902971
2817,113932.80473048546
1431,203698.6307695782
427,332623.7124517037
263,125233.41902674371
598,179070.05681194307
2895,258336.1809625897
687,121361.78876501719
1822,136988.41661565297
2191,113048.81143233416
179,130111.22810732207
1009,202987.49121581117
2010,135449.18091683532
1991,129473.44908164427
1411,176678.3141146476
1721,227661.83543303277
1144,190687.2954305748
593,224006.80351215566
575,325544.92468360363
1249,164608.464655124
1604,122966.16748628736
1064,475259.9001999328
1923,153192.27692383569
1988,109541.33233370286
2325,168770.869669934
114,204437.72064824135
2700,172009.54076184562
217,142315.87536266784
343,171788.17055968766
386,231058.4577394871
2005,120772.42478610984
2908,150643.9794085521
1814,229890.957187069
2446,426078.6920473444
208,124166.78362921822
1679,116901.23131848265
822,335343.9550824015
6,194687.84539471744
1781,379347.3828562302
2397,293291.7365774362
2340,295655.3017221701
1618,177796.95690013186
2843,145009.69515202884
1061,360946.4125891671
2786,124879.31715046335
1935,139450.4061204463
1341,114060.72128833288
521,266934.77062130574
2136,140211.35293974532
996,209198.13474518148
227,151904.9107152468
135,181699.32355478458
1167,162527.67279231484
294,228206.63563141433
1776,208200.16851931927
540,157379.9022644485
1717,201559.2582611096
2303,134747.35218058527
116,178642.97153760097
127,141444.55563010936
1371,132094.11605672823
1014,151211.22082308363
1507,103200.08888666573
702,117427.55543161012
750,145156.4941110985
261,150834.63614718523
1559,47191.08086481485
577,215029.778532374
2812,196567.3475779794
2080,153962.12144611668
1368,109360.47587448051
2376,116434.9794403555
659,105086.47768191661
1235,137832.2510652854
332,68928.41326268099
1917,146118.74749594528
2094,254062.58349914383
1460,253640.50845246302
1471,216060.44971043678
1509,123938.7278572294
1922,139252.2780388579
433,463661.0388236626
460,280514.2862495283
1116,243506.52340135485
1137,160326.61140287886
53,161794.46262768708
2354,264314.5236942132
1475,192509.4445156851
1761,506516.9499216249
842,148548.86073829827
2739,188281.3198677547
2509,144373.0238721234
1007,197254.98454115508
2610,180907.40070312825
1952,89026.8291313289
2719,151514.27641378695
2921,74896.88008653985
1966,148814.9557787105
292,130113.13002913275
1204,190373.84583295052
1829,252522.8576672552
2419,189955.1979321537
391,147426.61896889447
798,94385.54967604921
481,197893.2904945829
193,199756.65136407694
555,122258.39039636518
899,44604.26160917949
2357,185634.33129787043
328,127994.43775743275
1356,112058.50754305278
1154,99366.72545748616
1730,182127.4197848061
2249,155178.17380561054
1119,279688.10657481395
2856,155070.41321991506
1394,138320.7973989267
2587,117729.69669352208
61,311769.51083153475
2661,168057.7054725446
2711,133207.1288772948
1147,179517.88085015857
757,116208.77751126
2623,112701.08934622952
2378,139696.7907442699
1413,133532.8544459638
1722,216963.01179245833
1112,220704.12103283554
1623,198331.106721322
1201,197894.7618027452
1513,120229.41780833933
957,278480.7372976127
1171,265516.9814480108
1145,194875.01679659827
2726,227999.62230370397
703,136109.6752136384
760,94505.53974288887
1964,152196.61556898552
2512,171423.08620870573
159,133462.7205540181
1281,161278.8277524687
468,183612.10042292986
290,117980.22456355618
665,106053.93663446314
1463,248305.2394162729
1792,222880.0898021147
923,166432.40414013335
500,260498.53464727371
1408,197913.8282388978
331,73997.84968003145
170,118087.44219543385
2192,94721.06979456497
2571,320850.7958006204
2314,176661.56947166784
2647,87315.09787618948
422,410567.64087328885
2457,351043.3033898965
1838,203869.58830129512
2805,263565.11740632745
1645,157251.36057875495
1711,292314.52786418225
2825,247586.31469445257
322,336054.4290435096
2103,248739.5811529206
342,116732.33495960405
600,138876.14776642688
488,179666.45470388344
1725,314771.34517694864
2246,283967.0197899729
2847,155092.16186677397
806,240548.60496639836
530,228888.2091414887
963,190560.37824827145
